Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
55	325.09204	249.3352	682.19684	24.905045	481.2	65.47815	11.000859	103.60706	23.664028	275000	-0.13710225	244.41638	0.598225	0.019773923	79.0
56	288.9411	164.8452	530.9185	85.077675	470.85715	55.253723	12.30055	92.87767	2.4643784	280000	-0.14048538	201.10901	0.5549959	0.04729737	79.0
57	467.9842	146.31906	629.79755	195.56725	781.8	58.62776	9.171925	109.90624	7.452732	285000	-0.11300676	153.22685	0.5358177	0.075909875	17.0
58	368.2154	300.13266	725.8708	2.349648	590.8	59.202026	12.600666	106.589966	9.090932	290000	-0.13624738	147.13895	0.46077135	0.05330306	79.0
59	510.95734	178.90314	676.94806	169.82213	727.2	64.03591	10.18994	112.715385	-10.846481	295000	-0.1428806	191.55661	0.369104	0.05023256	79.0
60	434.72742	238.19398	784.65295	54.530083	693.6667	56.567642	14.173785	93.01909	10.2241535	300000	-0.14140895	193.32092	0.33605808	0.04078863	79.0
61	376.192	175.03282	558.20215	68.28136	657.8333	58.286755	13.128593	100.75511	-49.5765	305000	-0.14147979	197.886	0.26247296	0.041538775	79.0
62	311.06335	250.5153	627.9908	15.636563	460.66666	62.030926	12.209709	108.02968	0.38771608	310000	-0.1367795	155.6959	0.19058768	0.034187578	79.0
63	400.85715	224.94223	647.35657	17.72254	603.0	57.145336	12.966272	98.88249	-1.461818	315000	-0.13366953	147.59383	0.14725694	0.034397732	79.0
64	540.4579	135.52924	700.7752	303.20227	768.0	58.96005	11.71186	101.83765	2.202729	320000	-0.07302463	151.03032	0.11224088	0.07583432	9.0
65	481.9349	204.30667	707.29724	48.923923	736.0	63.6017	12.838101	103.54092	0.71800625	325000	-0.10019468	91.36921	0.1108521	0.07655501	17.0
66	479.04175	302.786	882.6729	144.6277	601.4	67.31601	11.342434	105.02583	13.008478	330000	-0.1409348	205.9661	0.041446947	0.052242287	79.0
67	402.45947	256.52573	668.1508	24.632019	657.8	61.948524	18.641937	110.34839	-23.422148	335000	-0.1438426	126.40195	-0.0032768003	0.04604855	79.0
68	565.07916	342.6419	869.1768	47.689606	700.8333	71.6951	11.382883	107.15901	17.367353	340000	-0.13948342	151.37762	-0.08486295	0.04906645	79.0
69	334.5127	233.56662	614.87573	21.74572	480.33334	68.99445	15.029258	110.647255	13.390113	345000	-0.1255934	182.5165	-0.11818353	0.022433294	79.0
70	259.56912	174.75137	526.98975	46.604404	449.42856	58.549538	13.317905	96.437584	-20.87761	350000	-0.12387148	151.07547	-0.17367679	0.020050177	79.0
