Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
64	408.9897	57.285202	440.64523	228.52907	144.0	164.01012	56.673508	209.83702	1.9772153	320000	-0.027542373	517.8897	-0.87075335	-0.0057111294	79.0
65	420.9793	33.56424	436.8725	239.37021	147.19354	158.8903	54.36373	204.37985	1.7729831	325000	-0.030738635	168.17908	-0.8995044	0.027335657	79.0
66	421.34567	36.329323	436.4812	224.9761	147.51613	161.66188	56.528534	211.27008	0.15790139	330000	-0.024101404	191.2581	-0.9206625	0.019566342	79.0
67	427.7508	3.7927206	434.23184	420.07007	149.03334	161.46007	55.98482	208.85312	0.8286723	335000	-0.03974657	4.0201945	-0.93517196	0.0422815	79.0
68	430.0577	4.388872	440.8958	420.80453	149.53334	163.48978	57.320766	210.91238	1.2405319	340000	-0.046191484	2.3732367	-0.9777688	0.02473813	79.0
69	427.2802	5.6495466	437.73782	415.31198	148.56667	163.23112	57.20234	210.8665	1.8090099	345000	-0.046910174	3.4979417	-1.0079266	0.02174961	79.0
70	424.49716	7.5527096	438.41223	406.96906	147.9	162.99573	56.877552	210.38406	2.0853543	350000	-0.043389816	5.1223207	-1.0491899	0.02248696	79.0
71	425.02832	4.9849668	438.6255	416.1282	147.9	162.14476	57.038567	209.59239	0.39897496	355000	-0.04262196	4.0041947	-1.0776341	0.030574976	79.0
72	413.8048	61.189972	443.71005	81.21918	144.25807	162.65352	56.95171	211.25485	0.65705985	360000	-0.020760203	246.53752	-1.0916816	-0.00096134405	79.0
73	429.37354	4.865064	440.82303	418.2175	148.96666	162.29005	56.49313	213.16501	0.46796095	365000	-0.040921323	2.5604348	-1.1314678	0.033198558	79.0
74	431.28644	5.8145366	445.4026	420.66812	149.83333	164.0538	57.834152	212.26772	0.23024806	370000	-0.044958573	2.9996989	-1.1929076	0.022420233	79.0
75	432.2051	3.9383516	439.53183	424.04953	149.9	164.29387	57.7	211.89902	2.013856	375000	-0.045311607	2.4352782	-1.2533885	0.02250255	79.0
76	433.28723	5.1475673	444.71878	421.4395	150.33333	164.47334	58.059044	212.87743	1.0199525	380000	-0.04509794	2.691789	-1.3129025	0.023631854	79.0
77	420.39786	72.50153	443.46344	24.27146	145.90323	164.93222	58.009663	212.08745	1.758552	385000	-0.0043252385	45.22647	-1.3161254	0.09934624	4.0
78	431.1052	5.509583	440.62515	419.99994	149.3	164.44801	57.81677	212.68642	-1.6955922	390000	0.040098876	2.387898	-1.3302664	0.10418001	11.0
79	427.47604	7.2059045	447.18033	415.40872	148.23334	163.26834	57.6414	212.20384	1.1536987	395000	-0.049763717	4.499137	-1.3874032	0.020123344	79.0
80	429.66895	6.9513154	442.60632	413.62103	149.03334	163.4273	57.405792	212.66367	1.7578473	400000	-0.046602715	4.075239	-1.4434822	0.033997312	79.0
81	421.98468	36.124912	438.04504	226.10469	146.74193	163.64627	57.768314	213.05762	1.168578	405000	-1.8659974e-05	199.14148	-1.4462043	0.09502975	3.0
82	419.63904	5.915815	429.35684	407.93878	145.6	160.93492	56.83155	210.20236	2.2617884	410000	-0.024649043	2.6151602	-1.4390688	0.07634315	20.0
83	422.0203	7.444002	443.22208	409.10577	146.46666	160.72421	56.990005	210.12056	1.6204547	415000	-0.041324813	3.6578968	-1.4725138	0.03202562	79.0
84	424.15945	6.480886	436.7576	412.94427	147.26666	162.14206	56.802624	211.63448	0.88803077	420000	-0.048965987	2.7535594	-1.515718	0.023266088	79.0
85	425.17853	4.270712	434.8184	417.86453	147.66667	162.73807	57.147846	211.87059	1.6000845	425000	-0.044742323	2.2811472	-1.5484157	0.026919544	79.0
86	427.80795	6.117799	440.51486	415.7203	148.33333	162.62094	57.190784	210.77275	2.088318	430000	-0.043349754	2.5458496	-1.5986317	0.025384793	79.0
